year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2013,CV,ooc,Male,2013-6-10,14,1,40.61328182,32.29311349,5.769253984,2.258929266,33.29358048,32.42316084
2013,CV,opp,Male,2013-6-20,4,0,46.48448779,38.49942825,5.328927182,1.88006145,32.27014161,31.77159556
2013,CV,ops,Male,2013-6-10,14,1,48.02244552,39.6794364,6.04259065,2.151567801,33.62256019,33.06892973
2013,CV,orf,Male,2013-6-19,0,0,48.62960869,39.95928213,5.608835105,2.108101598,34.91803007,33.96106855
2013,CV,org,Male,2013-6-19,0,0,46.4042602,38.2130562,5.709902607,2.085540554,33.0626583,32.24472328
2013,CV,ous,Male,2013-6-24,13,0,46.82986457,38.51064418,5.659934399,1.959296074,32.16478414,31.65457375
2013,CV,ovdb,Male,2013-6-8,3,0,47.39540198,38.39953999,6.086445322,2.354118551,33.10492939,32.60710814
2013,CV,owg,Male,2013-6-24,0,0,46.61784184,38.53229084,5.386383584,1.810512034,31.61123648,30.7481853
2013,CV,pdblb,Male,2013-6-20,25,0,46.81433233,38.39487715,5.478671762,1.957909289,31.67559335,30.72890078
2013,CV,pgs,Male,2013-6-19,0,0,45.44842216,37.21395811,5.66213348,2.129361022,31.93097582,31.19752376
2013,CV,pmw,Male,2013-7-12,0,0,46.75286828,38.80124279,5.549970534,2.255419508,31.96742572,31.29518782
2013,CV,prm,Male,2013-6-19,16,0,46.42834011,38.35577774,5.640184349,1.745848079,32.03233885,31.28097045
2013,CV,prs,Male,2013-6-7,5,1,47.98914356,39.60159788,5.808549606,2.213686388,33.31904321,32.29462661
2013,CV,puf,Male,2013-6-7,0,0,47.7474162,38.71854073,6.13581756,2.279079973,33.06061179,32.10158515
2013,CV,pwr,Male,2013-7-12,3,0,44.81742046,37.4808658,5.0028964,2.009146131,30.03977228,29.29222338
2013,CV,rcc,Male,2013-7-12,3,0,45.92596439,37.75363899,5.724827791,2.214402014,33.22811672,32.06909935
2013,CV,rcg,Male,2013-7-15,0,0,47.01018932,38.98504664,5.478671762,2.170212766,32.58743816,31.63261942
2013,CV,rmy,Male,2013-6-18,2,0,46.30331828,38.37699864,5.288978264,2.235663039,32.44306877,32.33567969
2013,CV,rodb,Male,2013-6-18,1,0,47.78135088,39.81587887,5.684077496,1.894692499,33.6250719,32.59580297
2013,CV,rsr,Male,2013-7-15,3,0,47.09204744,38.30047863,5.702484905,2.320709996,33.89899097,33.07967575
2013,CV,ryp,Male,2013-7-12,0,0,43.40207024,36.49973179,4.769850234,2.327041032,29.84643655,29.13042062
2013,CV,ryr,Male,2013-6-11,0,0,45.53191489,38.19149529,5.021321673,1.829910931,30.54752246,30.08562674
2013,CV,sgc,Male,2013-7-6,0,0,45.07638505,36.69225893,5.851411982,2.298758694,33.04505315,32.2303934
2013,CV,sgo,Male,2013-6-11,7,0,48.49720792,40.23877353,5.489732793,2.001018301,32.67330201,31.61128754
2013,CV,slblb,Male,2013-6-18,0,1,46.11172882,37.9472007,5.364403237,1.872823922,30.61207617,29.49044005
2013,CV,slbw,Male,2013-6-18,0,0,47.38539103,39.18768896,5.663332619,2.042664004,32.08215743,31.21979983
2013,CV,smo,Male,2013-7-9,2,0,44.13066015,36.9623461,4.800454558,1.981581098,35.26288377,28.95598031
2013,CV,sog,Male,2013-7-9,0,0,48.44800455,40.21717864,5.623827276,2.30515002,32.41417536,31.65156227
2013,CV,spv,Male,2013-7-9,6,0,47.60124185,39.50368871,5.48003496,2.234954221,32.75630122,31.82784337
2013,CV,svf,Male,2013-7-7,6,0,50.064196,41.27738538,6.106420046,2.471384442,33.10241298,32.80489948
2013,CV,ucv,Male,2013-7-9,0,0,48.11671433,39.85762348,5.564958593,2.30583726,32.19202253,31.62736559
2013,CV,ucy,Male,2013-7-6,0,0,48.21278474,39.87236313,5.766585504,2.340522242,33.10191219,32.03047552
