year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl,fpl,fpw
2012,CS,rpw,Male,2012-6-18,3,1,45.0556,37.2025,3.8,3.64,30.4012,27.2369,15.8581,9.6813
2012,CS,rpdb,Male,2012-6-18,0,1,44.4205,36.1804,3.61,4.01,30.7242,29.4152,15.9027,9.374
2012,CS,rpr,Male,2012-6-18,2,1,43.5691,35.1967,3.85,4.01,30.9461,29.7407,15.7288,9.7245
2012,CS,rplb,Male,2012-6-18,0,1,43.9846,36.2368,3.57,3.77,31.0382,29.6149,18.1295,9.6335
2012,CS,fcc,Male,2012-6-18,10,1,42.0627,34.1069,3.69,4.12,29.0702,27.974,14.3447,9.0588
2012,CS,fcp,Male,2012-6-18,0,1,42.42,35.1308,3.78,3.94,30.2648,28.6831,19.1379,9.3964
2012,CS,fcf,Male,2012-6-18,0,1,45.1524,36.8792,3.89,4.06,30.2925,29.0452,14.5431,9.3439
2012,CS,fclb,Male,2012-6-18,3,0,43.2499,35.1509,3.66,4.1,30.8296,29.647,14.7864,9.5135
2012,CS,fwc,Male,2012-6-18,0,0,42.9364,35.1472,3.79,4.06,29.3112,28.4112,17.3605,9.0455
2012,CS,fcg,Male,2012-6-18,0,0,44.3981,36.0638,4.02,4.22,31.4017,30.0038,15.0686,8.8425
2012,CS,fwdb,Male,2012-6-18,1,0,44.0296,36.3871,3.88,4.16,30.9847,29.3191,18.7132,9.1722
2012,CS,fwr,Male,2012-6-19,11,0,42.4471,35.6765,3.4,3.72,29.2491,27.964,17.1661,9.025
2012,CS,fwf,Male,2012-6-19,2,0,42.9159,35.966,3.5,3.87,30.6208,29.7686,17.141,9.1601
2012,CS,fwlb,Male,2012-6-19,0,0,42.0839,35.1382,3.36,3.57,29.0775,27.4835,14.8448,8.9792
2012,CS,fdbc,Male,2012-6-19,0,0,44.6918,36.9466,3.77,4.13,32.114,31.038,17.7448,9.7926
2012,CS,fdbw,Male,2012-6-19,2,0,43.3763,36.021,3.39,4.04,29.8209,28.2385,16.3434,9.6063
2012,CS,fdby,Male,2012-6-19,0,0,43.6105,35.9235,3.44,3.76,29.7091,28.1851,15.9006,9.3657
2012,CS,fdbg,Male,2012-6-19,0,0,43.885,36.5802,3.53,3.88,29.3456,28.8819,15.9346,9.1381
2012,CS,fpdb,Male,2012-6-19,11,0,43.488,36.1016,3.7,3.8,29.1683,27.7412,15.2049,9.0335
2012,CS,fpp,Male,2012-6-19,2,0,44.7213,36.3335,3.84,3.86,31.5727,30.334,17.966,9.5208
2012,CS,fpy,Male,2012-6-19,0,0,42.3124,34.7675,3.58,3.6,28.9562,28.1962,15.8595,9.1662
2012,CS,fpf,Male,2012-6-19,0,1,45.9513,37.8839,3.64,4.12,31.7325,30.8375,18.2082,9.7509
2012,CS,wcc,Male,2012-6-19,2,1,44.1063,35.9664,3.5,3.96,29.5686,28.294,16.8992,9.2627
2012,CS,wcw,Male,2012-6-19,0,1,43.3726,35.9565,3.43,3.66,30.4635,30.0642,13.3273,9.1135
2012,CS,wcp,Male,2012-6-19,1,1,42.5129,34.7388,3.32,3.72,30.2775,29.1742,16.0703,9.5517
2012,CS,wclb,Male,2012-6-19,0,1,43.2471,35.5251,3.64,3.88,29.8842,28.6356,16.2012,9.114
2012,CS,www,Male,2012-6-19,0,1,45.1026,36.9185,3.86,3.87,30.8403,29.6944,18.6455,9.5297
2012,CS,wwy,Male,2012-6-19,2,1,45.2991,37.2968,3.5,3.9,31.7423,30.7508,14.5034,9.1083
2012,CS,wwr,Male,2012-6-19,1,1,41.7743,34.8372,3.51,3.72,30.2671,29.669,16.0389,9.521
2012,CS,wdbw,Male,2012-6-19,0,1,44.6364,36.057,3.78,4.05,31.2783,30.0268,17.8078,9.8849
2012,CS,wpc,Male,2012-6-20,0,0,42.9429,34.8063,3.85,3.97,30.6448,29.7287,17.3687,9.7403
2012,CS,wpw,Male,2012-6-20,0,0,43.6906,35.5498,3.65,3.52,29.4991,28.5275,15.295,9.0921
2012,CS,wpdb,Male,2012-6-20,8,0,43.5195,35.4907,3.66,3.84,30.3977,29.2059,16.556,9.2735
2012,CS,wpy,Male,2012-6-20,0,0,41.1707,33.7109,3.53,3.76,29.0893,28.1299,15.5005,9.0052
2012,CS,wpf,Male,2012-6-20,0,0,43.9986,36.0895,3.77,3.88,30.4451,29.0877,13.7441,9.5015
